component_id,gameobject_id,type,script_class,script_namespace,script_assembly,field_count
432,52,MonoBehaviour,Button,,Assembly-CSharp.dll,1
433,52,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
434,53,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
435,54,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
436,57,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
437,59,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
438,60,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
439,62,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
440,63,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
441,64,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
442,65,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
443,67,MonoBehaviour,Button,,Assembly-CSharp.dll,1
444,67,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
445,68,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
446,69,MonoBehaviour,Button,,Assembly-CSharp.dll,1
447,69,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
448,70,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
449,72,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
450,73,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
451,74,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
452,75,MonoBehaviour,Button,,Assembly-CSharp.dll,1
453,75,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
454,76,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
455,77,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
456,78,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
457,79,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
458,80,MonoBehaviour,Button,,Assembly-CSharp.dll,1
459,80,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
460,81,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
461,84,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
462,85,MonoBehaviour,StandaloneInputModule,UnityEngine.EventSystems,UnityEngine.UI.dll,1
463,86,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
464,87,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
465,88,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
466,88,MonoBehaviour,Button,,Assembly-CSharp.dll,1
467,89,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
468,89,MonoBehaviour,ShopPageButton,,Assembly-CSharp.dll,1
469,90,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
470,91,MonoBehaviour,ShopPageButton,,Assembly-CSharp.dll,1
471,91,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
472,92,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
473,94,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
474,95,MonoBehaviour,ShopPageButton,,Assembly-CSharp.dll,1
475,95,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
476,96,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
477,100,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
478,101,MonoBehaviour,ToggleButton,,Assembly-CSharp.dll,1
479,101,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
480,102,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
481,103,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
482,104,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
483,105,MonoBehaviour,ShopManager,,Assembly-CSharp.dll,1
484,109,MonoBehaviour,BarWithLabel,,Assembly-CSharp.dll,1
485,110,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
486,112,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
487,113,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
488,114,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
489,115,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
490,115,MonoBehaviour,Button,,Assembly-CSharp.dll,1
491,116,MonoBehaviour,Image,UnityEngine.UI,UnityEngine.UI.dll,1
492,116,MonoBehaviour,BuyableComponent,,Assembly-CSharp.dll,1
493,117,MonoBehaviour,StatisticsManager,,Assembly-CSharp.dll,1
494,119,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
495,120,MonoBehaviour,HelpElement,,Assembly-CSharp.dll,1
496,121,MonoBehaviour,Text,UnityEngine.UI,UnityEngine.UI.dll,1
